"","ID","gene_name","rank_expr_norm","rank_pubmed_mean_norm","rank_tf_norm","rank_kinase_norm","rank_crisp_mean_norm","rank_crisp_min_norm","rank_expr_fold_change_norm","rank_is_TSG_norm","rank_GO_term_norm","rank_PPI_norm","SUM_RANK","is_oncogene"
"1","TCGA-18-3412_2_79091554_79495572","REG3G",0.5,0.6,0.6,0.6,0.4,0.4,0.5,0.6,0.6,0.6,5.4,0
"2","TCGA-18-3412_2_79091554_79495572","REG1B",0.5,0.2,0.6,0.6,1,1,0.8,0.6,0.2,0.6,6.1,0
"3","TCGA-18-3412_2_79091554_79495572","REG1A",1,0.8,0.6,0.6,0.6,0.8,1,0.6,1,0.6,7.6,0
"4","TCGA-18-3412_2_79091554_79495572","REG3A",0.5,1,0.6,0.6,0.2,0.2,0.5,0.6,0.4,0.6,5.2,0
"5","TCGA-18-3412_2_79091554_79495572","CTNNA2",0.5,0.4,0.6,0.6,0.8,0.6,0.2,0.6,0.8,0.6,5.7,1
"6","TCGA-27-2528_7_128366485_129612414","FAM71F1",0.07,0.3,0.47,0.53,0.07,0.07,0.07,0.53,0.2,0.53,2.84,0
"7","TCGA-27-2528_7_128366485_129612414","CALU",0.93,0.93,0.47,0.53,0.27,0.2,0.93,0.53,0.2,0.53,5.52,0
"8","TCGA-27-2528_7_128366485_129612414","OPN1SW",0.13,0.13,0.47,0.53,0.4,0.27,0.33,0.53,0.6,0.53,3.92,0
"9","TCGA-27-2528_7_128366485_129612414","CCDC136",0.47,0.3,0.47,0.53,0.2,0.4,0.13,0.53,0.93,0.53,4.49,0
"10","TCGA-27-2528_7_128366485_129612414","FLNC",0.4,0.73,0.47,0.53,0.73,0.53,0.53,0.53,0.53,0.53,5.51,0
"11","TCGA-27-2528_7_128366485_129612414","ATP6V1F",1,0.43,0.47,0.53,0.93,0.93,0.6,0.53,0.67,0.53,6.62,0
"12","TCGA-27-2528_7_128366485_129612414","IRF5",0.2,0.8,0.97,0.53,0.33,0.47,0.27,0.53,0.8,0.53,5.43,0
"13","TCGA-27-2528_7_128366485_129612414","TNPO3",0.6,0.43,0.47,0.53,1,1,0.77,0.53,1,0.53,6.86,0
"14","TCGA-27-2528_7_128366485_129612414","TSPAN33",0.73,0.53,0.47,0.53,0.13,0.13,0.87,0.53,0.43,0.53,4.88,0
"15","TCGA-27-2528_7_128366485_129612414","SMO",0.83,1,0.47,0.53,0.6,0.6,1,0.53,0.73,0.53,6.82,1
"16","TCGA-27-2528_7_128366485_129612414","AHCYL2",0.67,0.13,0.47,0.53,0.67,0.73,0.67,0.53,0.2,0.53,5.13,0
"17","TCGA-27-2528_7_128366485_129612414","STRIP2",0.27,0.67,0.47,0.53,0.53,0.67,0.2,0.53,0.43,0.53,4.83,0
"18","TCGA-27-2528_7_128366485_129612414","SMKR1",0.53,0.13,0.47,0.53,0.47,0.33,0.47,0.53,0.2,0.53,4.19,0
"19","TCGA-27-2528_7_128366485_129612414","NRF1",0.33,0.87,0.97,0.53,0.87,0.87,0.4,0.53,0.87,0.53,6.77,0
"20","TCGA-27-2528_7_128366485_129612414","UBE2H",0.83,0.6,0.47,0.53,0.8,0.8,0.77,0.53,0.2,0.53,6.06,0
"21","TCGA-33-4587_1_38696970_39542737","RRAGC",0.5,0.67,0.58,0.58,0.83,1,0.5,0.58,0.67,0.58,6.49,1
"22","TCGA-33-4587_1_38696970_39542737","MYCBP",0.83,1,0.58,0.58,0.5,0.5,0.67,0.58,0.83,0.58,6.65,0
"23","TCGA-33-4587_1_38696970_39542737","GJA9",0.17,0.17,0.58,0.58,0.33,0.33,1,0.58,0.5,0.58,4.82,0
"24","TCGA-33-4587_1_38696970_39542737","RHBDL2",0.33,0.83,0.58,0.58,0.17,0.17,0.83,0.58,0.25,0.58,4.9,0
"25","TCGA-33-4587_1_38696970_39542737","AKIRIN1",0.67,0.33,0.58,0.58,0.67,0.67,0.33,0.58,1,0.58,5.99,0
"26","TCGA-33-4587_1_38696970_39542737","NDUFS5",1,0.5,0.58,0.58,1,0.83,0.17,0.58,0.25,0.58,6.07,0
"27","TCGA-35-4122_16_30811236_31388493","BCL7C",0.73,0.41,0.45,0.5,0.5,0.59,0.5,0.52,0.66,0.52,5.38,0
"28","TCGA-35-4122_16_30811236_31388493","CTF1",0.55,0.61,0.45,0.5,0.41,0.5,0.23,0.52,0.41,0.52,4.7,0
"29","TCGA-35-4122_16_30811236_31388493","FBXL19",0.45,0.73,0.95,0.5,0.82,0.77,0.32,0.52,0.95,0.52,6.53,0
"30","TCGA-35-4122_16_30811236_31388493","ORAI3",0.64,1,0.45,0.5,0.61,0.64,0.64,0.52,0.14,0.52,5.66,0
"31","TCGA-35-4122_16_30811236_31388493","SETD1A",0.23,0.8,0.45,0.5,0.95,0.91,0.18,0.52,0.73,0.52,5.79,1
"32","TCGA-35-4122_16_30811236_31388493","HSD3B7",0.82,0.3,0.45,0.5,0.77,0.84,0.95,0.52,0.86,0.52,6.53,0
"33","TCGA-35-4122_16_30811236_31388493","STX1B",0.14,0.3,0.45,0.5,0.61,0.55,0.57,0.52,0.55,0.52,4.71,0
"34","TCGA-35-4122_16_30811236_31388493","STX4",0.77,0.55,0.45,0.5,0.91,0.95,0.41,0.52,1,0.52,6.58,0
"35","TCGA-35-4122_16_30811236_31388493","ZNF668",0.27,0.36,0.95,0.5,0.68,0.68,0.27,0.52,0.82,0.52,5.57,0
"36","TCGA-35-4122_16_30811236_31388493","ZNF646",0.18,0.11,0.95,0.5,0.55,0.45,0.14,0.52,0.14,0.52,4.06,0
"37","TCGA-35-4122_16_30811236_31388493","PRSS53",0.09,0.11,0.45,0.5,0.09,0.09,0.57,0.52,0.14,0.52,3.08,0
"38","TCGA-35-4122_16_30811236_31388493","RP11-196G11.1",0.32,0.11,0.45,0.5,0.05,0.05,0.91,0.52,0.14,0.52,3.57,0
"39","TCGA-35-4122_16_30811236_31388493","VKORC1",0.95,0.68,0.45,0.5,0.45,0.25,0.73,0.52,0.32,0.52,5.37,0
"40","TCGA-35-4122_16_30811236_31388493","BCKDK",0.86,0.5,0.45,1,0.23,0.18,0.86,0.52,0.36,0.52,5.48,0
"41","TCGA-35-4122_16_30811236_31388493","KAT8",0.68,0.86,0.45,0.5,1,1,0.36,0.52,0.5,0.52,6.39,0
"42","TCGA-35-4122_16_30811236_31388493","PRSS8",1,0.8,0.45,0.5,0.27,0.14,0.77,0.52,0.27,0.52,5.24,0
"43","TCGA-35-4122_16_30811236_31388493","PRSS36",0.36,0.23,0.45,0.5,0.14,0.36,0.45,0.52,0.14,0.52,3.67,0
"44","TCGA-35-4122_16_30811236_31388493","PYCARD",0.91,0.95,0.45,0.5,0.18,0.32,0.82,0.52,0.45,0.52,5.62,0
"45","TCGA-35-4122_16_30811236_31388493","TRIM72",0.05,0.45,0.45,0.5,0.86,0.84,0.68,0.52,0.66,0.52,5.53,0
"46","TCGA-35-4122_16_30811236_31388493","PYDC1",0.59,0.11,0.45,0.5,0.73,0.73,1,0.52,0.59,0.52,5.74,0
"47","TCGA-35-4122_16_30811236_31388493","ITGAM",0.5,0.91,0.45,0.5,0.36,0.41,0.09,0.52,0.91,0.52,5.17,0
"48","TCGA-35-4122_16_30811236_31388493","ITGAX",0.41,0.61,0.45,0.5,0.32,0.25,0.05,0.52,0.77,0.52,4.4,0
"49","TCGA-3B-A9HS_5_179837009_180790320","CNOT6",0.6,0.6,0.5,0.5,0.8,0.53,0.47,0.53,0.87,0.53,5.93,0
"50","TCGA-3B-A9HS_5_179837009_180790320","SCGB3A1",0.4,0.93,0.5,0.5,0.2,0.27,0.33,0.53,0.97,0.53,5.16,0
"51","TCGA-3B-A9HS_5_179837009_180790320","FLT4",0.47,1,0.5,1,0.7,0.6,0.4,0.53,0.8,0.53,6.53,1
"52","TCGA-3B-A9HS_5_179837009_180790320","OR2Y1",0.13,0.17,0.5,0.5,0.57,0.2,0.13,0.53,0.17,0.53,3.43,0
"53","TCGA-3B-A9HS_5_179837009_180790320","MGAT1",0.93,0.8,0.5,0.5,1,1,0.8,0.53,0.73,0.53,7.32,0
"54","TCGA-3B-A9HS_5_179837009_180790320","ZFP62",0.8,0.17,1,0.5,0.33,0.33,0.73,0.53,0.6,0.53,5.52,0
"55","TCGA-3B-A9HS_5_179837009_180790320","BTNL8",0.27,0.47,0.5,0.5,0.7,0.4,0.27,0.53,0.53,0.53,4.7,0
"56","TCGA-3B-A9HS_5_179837009_180790320","BTNL3",0.33,0.4,0.5,0.5,0.13,0.13,0.93,0.53,0.43,0.53,4.41,0
"57","TCGA-3B-A9HS_5_179837009_180790320","BTNL9",0.53,0.53,0.5,0.5,0.27,0.8,0.53,0.53,0.43,0.53,5.15,0
"58","TCGA-3B-A9HS_5_179837009_180790320","OR2V1",0.13,0.17,0.5,0.5,0.87,0.73,0.13,0.53,0.17,0.53,4.26,0
"59","TCGA-3B-A9HS_5_179837009_180790320","OR2V2",0.13,0.17,0.5,0.5,0.93,0.67,0.13,0.53,0.17,0.53,4.26,0
"60","TCGA-3B-A9HS_5_179837009_180790320","TRIM7",0.7,0.67,0.5,0.5,0.4,0.87,1,0.53,0.33,0.53,6.03,0
