"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"BP" "GO:0007169" "transmembrane receptor protein tyrosine kinase signaling pathway" "73/334" "360/9111" 3.23759831039711e-35 1.27043357699983e-31 6.73079648740452e-32 "FYN/IGF1/HGF/GAB2/FLT4/ROS1/PIK3CB/ERBB3/FGFR2/FGFR3/FGF10/FGF4/FGFR1/JAK2/CRKL/MAPK1/PDGFB/HIF1A/FLT1/AKT2/TYK2/MET/GATA3/SHOC2/COL1A1/NHERF1/GAB1/FGF6/VEGFA/FGF23/PIK3CA/FLT3/PLCG1/SOX9/MAP2K2/HIP1/KDR/RAF1/PDGFRA/EPHA7/IGF1R/IQGAP1/SS18/ERBB2/VAV1/AKT1/EGFR/NTRK2/PAK1/EPHB1/NRG1/KIT/BRAF/FGF19/JAK1/DDR2/SYK/FRS2/STAT6/IGF2/CTNNB1/MAP2K1/INSR/PIK3CD/YES1/PTPN11/IRS2/FGF3/PTPN1/EPHB4/SRC/NTRK1/LYN" 73
"BP" "GO:0042327" "positive regulation of phosphorylation" "73/334" "390/9111" 8.70665779537509e-33 1.70824625945259e-29 9.05034165571884e-30 "FYN/IGF1/HGF/FLT4/ROS1/ERBB3/FGFR2/FGFR3/FGF10/MAP3K13/FGF4/FGFR1/HSP90AA1/JAK2/CRKL/MAPK1/PDGFB/TCL1A/FLT1/AKT2/PIK3CG/MET/CCND1/FGF6/CCND3/VEGFA/CCND2/FGF23/PIK3CA/FLT3/INHBA/SOX9/CCR7/MAP2K2/KDR/RAF1/KRAS/IL6ST/PDGFRA/EPHA7/IGF1R/IQGAP1/ERBB2/AKT1/SFRP2/EGFR/NTRK2/PAK1/HMGA2/NRG1/KIT/BRAF/SQSTM1/FGF19/DDR2/RICTOR/SYK/IGF2/MAP2K1/INSR/YES1/AURKB/PTPN11/SMYD3/FGF3/PTPN1/EPHB4/HDAC2/SRC/NTRK1/TCL1B/MTCP1/LYN" 73
"BP" "GO:0010562" "positive regulation of phosphorus metabolic process" "75/334" "427/9111" 8.92386449855427e-32 8.75431107308174e-29 4.63806115385386e-29 "FYN/IGF1/HGF/FLT4/ROS1/ERBB3/FGFR2/FGFR3/FGF10/MAP3K13/FGF4/FGFR1/HSP90AA1/JAK2/CRKL/MAPK1/PDGFB/TCL1A/FLT1/AKT2/PIK3CG/MET/CCND1/FGF6/CCND3/VEGFA/CCND2/FGF23/PIK3CA/FLT3/INHBA/SOX9/CCR7/MAP2K2/KDR/RAF1/KRAS/IL6ST/PDGFRA/EPHA7/IGF1R/IQGAP1/ERBB2/AKT1/SFRP2/GNA12/EGFR/NTRK2/PAK1/HMGA2/NRG1/KIT/BRAF/SQSTM1/FGF19/DDR2/RICTOR/SYK/IGF2/MAP2K1/INSR/YES1/AURKB/PTPN11/SMYD3/FGF3/PTPN1/EPHB4/HDAC2/SRC/NTRK1/TMSB4X/TCL1B/MTCP1/LYN" 75
"BP" "GO:0045937" "positive regulation of phosphate metabolic process" "75/334" "427/9111" 8.92386449855427e-32 8.75431107308174e-29 4.63806115385386e-29 "FYN/IGF1/HGF/FLT4/ROS1/ERBB3/FGFR2/FGFR3/FGF10/MAP3K13/FGF4/FGFR1/HSP90AA1/JAK2/CRKL/MAPK1/PDGFB/TCL1A/FLT1/AKT2/PIK3CG/MET/CCND1/FGF6/CCND3/VEGFA/CCND2/FGF23/PIK3CA/FLT3/INHBA/SOX9/CCR7/MAP2K2/KDR/RAF1/KRAS/IL6ST/PDGFRA/EPHA7/IGF1R/IQGAP1/ERBB2/AKT1/SFRP2/GNA12/EGFR/NTRK2/PAK1/HMGA2/NRG1/KIT/BRAF/SQSTM1/FGF19/DDR2/RICTOR/SYK/IGF2/MAP2K1/INSR/YES1/AURKB/PTPN11/SMYD3/FGF3/PTPN1/EPHB4/HDAC2/SRC/NTRK1/TMSB4X/TCL1B/MTCP1/LYN" 75
"BP" "GO:0048732" "gland development" "57/334" "255/9111" 1.00072078582441e-29 6.81097183672241e-27 3.60847400008766e-27 "JARID2/HGF/FGFR2/FGF10/TP63/PGR/AURKA/ESR1/JAK2/CRKL/MAPK1/SOX10/HIF1A/ARHGAP5/AKT2/MET/HOXA13/GATA3/NHERF1/CCND1/GLI1/VEGFA/CREB1/PIK3CA/SOX9/MAP2K2/SMO/HOXD13/FOXA1/RARA/RAF1/NOTCH2/PDGFRA/NKX2-1/CYP19A1/GATA6/AKT1/EGFR/NRG1/BRAF/HOXB13/LRP5/FRS2/STAT6/IGF2/CTNNB1/MAP2K1/INSR/SOX2/PLAG1/POU3F2/WT1/PBX1/IRS2/SRC/MAFB/NOTCH4" 57
"BP" "GO:0001934" "positive regulation of protein phosphorylation" "67/334" "362/9111" 1.04143300255694e-29 6.81097183672241e-27 3.60847400008766e-27 "FYN/IGF1/HGF/FLT4/ERBB3/FGFR3/FGF10/MAP3K13/FGF4/FGFR1/HSP90AA1/JAK2/CRKL/MAPK1/PDGFB/TCL1A/FLT1/AKT2/PIK3CG/CCND1/FGF6/CCND3/VEGFA/CCND2/FGF23/PIK3CA/FLT3/INHBA/SOX9/CCR7/MAP2K2/KDR/RAF1/KRAS/IL6ST/EPHA7/IQGAP1/ERBB2/AKT1/SFRP2/EGFR/NTRK2/PAK1/HMGA2/NRG1/KIT/BRAF/SQSTM1/FGF19/DDR2/RICTOR/SYK/IGF2/MAP2K1/INSR/YES1/AURKB/PTPN11/SMYD3/FGF3/PTPN1/HDAC2/SRC/NTRK1/TCL1B/MTCP1/LYN" 67
"BP" "GO:0035239" "tube morphogenesis" "76/334" "496/9111" 4.05227862333988e-28 2.2715916168551e-25 1.20349628287162e-25 "FLT4/PIK3CB/HDAC7/FGFR2/FGF10/PRKACA/TP63/NOTCH3/PGR/ESR1/AGO1/SOX10/HIF1A/SALL4/KLF5/FLT1/PIK3CG/MET/HOXA13/GATA3/GAB1/GLI1/FGF6/VEGFA/FOXP1/NFE2L2/AKT3/PIK3CA/CXCR4/PLCG1/SOX9/ID1/RRAS/KDR/SMO/HOXD11/HOXD13/FOXA1/RARA/PPARG/KRAS/NOTCH2/PDGFRA/EPHA7/NKX2-1/KLF4/MYC/YAP1/LGR5/FOXN4/GATA6/ERBB2/AKT1/SFRP2/RSPO3/EGFR/NTRK2/ZEB1/PAK1/HMGA2/EPHB1/SKI/HOXB13/LRP5/JAK1/TERT/HEY1/SYK/CTNNB1/CDH2/PIK3CD/WT1/PBX1/EPHB4/SRC/NOTCH4" 76
"BP" "GO:0070848" "response to growth factor" "69/334" "411/9111" 6.55583968027591e-28 3.21563936317533e-25 1.70365570638749e-25 "FYN/HGF/FLT4/PIK3CB/FGFR2/FGFR3/FGF10/FGF4/FGFR1/CRKL/MAPK1/PDGFB/HIF1A/FLT1/HOXA13/GATA3/SHOC2/DDX5/COL1A1/GAB1/FGF6/VEGFA/KMT2A/CREB1/FGF23/PIK3CA/FLT3/PLCG1/SOX9/ID1/KDR/RAF1/PPARG/NOTCH2/PDGFRA/MDM2/NKX2-1/KLF4/MYC/USP8/IGF1R/FURIN/IQGAP1/GATA6/ERBB2/AKT1/SFRP2/EGFR/NTRK2/ZEB1/BRAF/SKI/FGF19/DDR2/FRS2/CTNNB1/INSR/CHST11/PIK3CD/DDIT3/YES1/JUN/PTPN11/SOX2/FGF3/PTPN1/HDAC2/SRC/NTRK1" 69
"BP" "GO:0031401" "positive regulation of protein modification process" "73/334" "463/9111" 8.91775362114676e-28 3.88814057881999e-25 2.05994893587893e-25 "FYN/IGF1/HGF/FLT4/DCUN1D1/ERBB3/HDAC4/FGFR3/FGF10/MAP3K13/FGF4/FGFR1/HSP90AA1/JAK2/CRKL/MAPK1/PDGFB/TCL1A/TRIB3/FLT1/AKT2/PIK3CG/CCND1/FGF6/CCND3/VEGFA/SF3B1/CCND2/FGF23/PIK3CA/FLT3/INHBA/DEK/SOX9/CCR7/MAP2K2/KDR/RAF1/KRAS/IL6ST/EPHA7/IQGAP1/ERBB2/AKT1/SFRP2/GNA12/EGFR/NTRK2/PAK1/HMGA2/NRG1/KIT/BRAF/SQSTM1/FGF19/DDR2/RICTOR/SYK/IGF2/MAP2K1/INSR/YES1/AURKB/PTPN11/SMYD3/FGF3/PTPN1/HDAC2/SRC/NTRK1/TCL1B/MTCP1/LYN" 73
"BP" "GO:0071363" "cellular response to growth factor stimulus" "65/334" "391/9111" 5.2429558137752e-26 2.05733586132539e-23 1.08998291917958e-23 "FYN/HGF/FLT4/PIK3CB/FGFR2/FGFR3/FGF10/FGF4/FGFR1/CRKL/PDGFB/HIF1A/FLT1/HOXA13/GATA3/SHOC2/DDX5/COL1A1/GAB1/FGF6/VEGFA/KMT2A/CREB1/FGF23/PIK3CA/FLT3/PLCG1/SOX9/ID1/KDR/RAF1/PPARG/NOTCH2/PDGFRA/MDM2/NKX2-1/KLF4/USP8/IGF1R/FURIN/IQGAP1/GATA6/ERBB2/AKT1/SFRP2/EGFR/NTRK2/ZEB1/BRAF/SKI/FGF19/DDR2/FRS2/CTNNB1/INSR/CHST11/PIK3CD/YES1/JUN/PTPN11/FGF3/PTPN1/HDAC2/SRC/NTRK1" 65
