gene	pubmed_invasion	pubmed_cancer	pubmed_growth	pubmed_migration	pubmed_prolifiration
A1BG	0	16	1	1	3
A1CF	0	9	0	3	3
A2M	2	67	2	4	9
A2ML1	0	5	0	1	1
A3GALT2	0	0	0	0	0
A4GALT	0	6	1	1	0
A4GNT	0	10	0	0	2
AAAS	1	49	3	8	13
AACS	0	17	2	2	0
AADAC	0	11	1	1	1
AADACL2	0	0	1	0	0
AADACL3	0	0	0	0	0
AADACL4	0	1	0	0	0
AADAT	0	2	0	0	0
AAED1	0	1	0	0	1
AAGAB	0	2	0	0	0
AAK1	0	13	1	0	2
AAMDC	0	1	0	1	0
AAMP	1	12	1	9	5
AANAT	0	15	2	0	2
AAR2	0	1	1	0	0
AARD	0	6	0	0	0
AARS	0	33	5	0	3
AARS2	0	1	0	1	0
AARSD1	0	1	0	0	0
AASDH	0	2	0	0	1
AASDHPPT	0	2	0	0	0
AASS	0	10	0	0	0
AATF	0	25	2	0	17
AATK	0	11	0	2	5
ABAT	0	24	1	0	6
ABCA1	1	199	27	22	67
ABCA10	0	6	0	0	1
ABCA12	0	18	1	4	2
ABCA13	0	11	0	0	1
ABCA2	1	30	1	0	4
ABCA3	0	42	0	1	10
ABCA4	1	7	0	4	6
ABCA5	0	15	1	1	2
ABCA6	0	11	1	2	1
ABCA7	0	17	0	0	5
ABCA8	1	22	2	1	1
ABCA9	0	9	2	1	2
ABCB1	6	2036	44	33	107
ABCB10	1	32	4	3	13
ABCB11	0	32	0	0	4
ABCB4	0	52	3	0	5
ABCB5	1	116	6	8	13
ABCB6	0	33	3	0	2
ABCB7	0	5	0	0	0
ABCB8	0	9	0	1	1
ABCB9	0	7	1	0	2
ABCC1	1	597	34	18	50
ABCC10	1	70	2	1	6
ABCC11	0	52	0	0	1
ABCC12	0	8	0	0	0
ABCC2	1	362	5	3	13
ABCC3	1	139	6	2	12
ABCC4	0	142	7	8	26
ABCC5	0	105	3	2	11
ABCC6	0	40	2	4	2
ABCC8	0	15	1	0	8
ABCC9	0	16	0	0	1
ABCD1	1	8	1	2	0
ABCD2	0	5	1	0	1
ABCD3	0	16	2	0	1
ABCD4	0	6	1	1	0
ABCE1	4	38	6	1	17
ABCF1	0	12	0	0	1
ABCF2	0	23	2	0	2
ABCF3	0	4	1	0	0
ABCG1	1	107	8	7	27
ABCG2	0	2510	71	57	176
ABCG4	0	12	0	0	0
ABCG5	0	34	0	1	3
ABCG8	0	27	0	0	0
ABHD1	0	0	0	0	0
ABHD10	0	0	0	0	0
ABHD11	1	29	4	3	12
ABHD12	0	6	1	0	1
ABHD12B	0	2	0	0	0
ABHD13	0	0	0	0	0
ABHD14A	0	2	0	0	0
ABHD14A-ACY1	0	0	0	0	0
ABHD14B	0	2	0	0	0
ABHD15	0	0	0	0	0
ABHD16A	1	1	0	0	0
ABHD16B	0	0	0	0	0
ABHD17A	1	2	0	0	1
ABHD17B	0	1	0	0	0
ABHD17C	0	5	0	0	0
ABHD2	1	11	0	1	5
ABHD3	1	0	0	0	0
ABHD4	0	2	1	0	0
ABHD5	1	14	3	3	4
ABHD6	0	12	1	1	2
ABHD8	0	3	0	0	0
ABI1	7	29	2	28	7
ABI2	2	8	4	9	1
ABI3	0	7	6	2	3
ABI3BP	0	11	3	0	3
ABL1	3	411	39	15	82
ABL2	5	62	5	11	17
ABLIM1	0	3	0	3	1
ABLIM2	0	5	0	0	2
ABLIM3	0	3	0	0	0
ABR	0	87	5	11	8
ABRA	0	8	1	0	4
ABRACL	0	5	0	2	4
ABT1	0	0	0	0	0
ABTB1	0	4	0	1	2
ABTB2	0	2	0	0	0
AC000003.2	0	0	0	0	0
AC002310.13	0	0	0	0	0
AC002365.1	0	0	0	0	0
AC002398.9	0	0	0	0	0
AC002451.1	0	2	0	0	0
AC002472.1	0	0	0	0	0
AC002472.13	0	0	0	0	0
AC002553.1	0	1	0	0	0
AC002985.3	0	0	0	0	0
AC003002.4	0	0	0	0	0
AC003002.6	0	0	0	0	0
AC003005.4	0	0	0	0	0
AC003006.7	0	0	0	0	0
AC003043.1	0	0	0	0	0
AC003101.1	0	0	0	0	0
AC003102.1	0	2	0	0	0
AC004017.1	0	0	0	0	0
