gene_name rank count
PDCD6 94 2
AHRR 91.5 2
EXOC3 92.5 1
FBXO25 43.5 3
FOXD4 36.5 1
TYMS 48 1
ZMYND11 23 2
GAK 125 1
FGFRL1 115 1
FKBP1A 124 1
PSMF1 114 1
EXOC2 10 1
SNTG2 10 1
MUC5B 88.5 1
BRSK2 85 1
MBD3 202 1
RPS15 201 1
POLR2E 191.5 1
RPA1 154.5 1
RILP 132.5 1
CRK 131 1
CLN8 15.5 2
ASMTL 64.5 1
NDC80 18 3
KBTBD11 21 1
ADIPOR2 44.5 2
VLDLR 27 3
ADARB2 10 1
ASMT 15.5 1
GMDS 16 1
TGIF1 77.5 6
RPS7 81 1
RNASEH1 76.5 1
MYT1L 10 1
CD99 30 1
FOXM1 59 2
FKBP4 32.5 1
IRX2 24.5 1
RNF4 29 1
CSMD1 15 4
XG 40.5 1
GYG2 40.5 1
IRX1 10 2
MYL12B 29 1
TEAD4 33 1
MXRA5 31 1
PCNA 199 2
CENPB 177 1
CDS2 170.5 1
GLIS3 24.5 2
PRPF4B 84 1
CDYL 79 2
RFX3 23.5 1
PRMT8 10 3
PRKX 17 1
PARP11 15.5 1
AKR1C3 29.5 1
DLGAP1 10 1
NLGN4X 10 2
EPB41L3 42.5 1
GPCPD1 23 1
RBM17 105 2
GDI2 104 1
ANO2 15.5 1
ERMP1 28.5 1
LAMA1 31 1
F13A1 17.5 1
MCPH1 48.5 2
KDM4C 27.5 1
AGPAT5 41 1
PTPRM 27.5 2
RIOK1 78 3
DSP 75.5 1
PNPLA4 35 1
RBFOX1 10 1
DEFA5 125 1
DEFB103A 109.5 2
ITIH5 22 1
PLCB4 47.5 1
GRM7 10 3
ZNF705B 98.5 1
SPAG11A 94.5 2
TMEM261 10 1
CD163 157 1
FOXJ2 147.5 3
MFAP5 140.5 3
USP7 73.5 3
RPA3 17.5 1
NANOGNB 85 1
BMP6 51 1
TAF3 10 2
ICA1 17.5 1
CPSF3 62 1
SEMA5A 10 1
NEIL2 141 5
PINX1 139.5 6
TNKS 139 3
PMM2 94.5 1
FAM9A 21 1
RAB12 10 1
MFHAS1 33 1
RPL27A 28.5 1
ID2 62 1
PHC1 63 2
KIDINS220 15.5 1
CCT5 51 2
PPP1R3B 16.5 1
MTMR14 42 1
OFCC1 10 2
USP43 38 1
NFIB 60 8
TAS2R1 21 2
GAS7 42.5 1
SOX7 43 8
BLK 162.5 3
GRHL1 39.5 1
TFAP2A 150 1
PAK1IP1 133.5 1
FDFT1 156.5 13
JAG1 56.5 5
RRM2 54 1
ATF7IP2 10 1
CLEC2B 68.5 1
CELF2 10 2
YBX3 273 3
PRB2 271 1
STYK1 253 1
MAGOHB 251 2
SCO1 70.5 1
HCCS 31.5 2
EIF4G2 52.5 1
CARM1 112.5 1
SPC24 110.5 1
DKK3 43.5 2
TAS2R10 121 2
TAS2R31 82.5 1
BTBD3 17.5 2
ROCK2 54 1
LPIN1 54 1
EDN1 62.5 1
PRM2 49 2
CLEC16A 40 1
ATG7 28.5 1
DNAH9 21.5 1
CTSB 124 1
AFG3L2 78.5 1
PSMG2 72 1
FAM86B2 51.5 1
UPF2 28.5 1
DHTKD1 28.5 1
HIVEP1 21.5 1
NUDT5 33 1
TEAD1 35.5 1
TIMP4 10 1
NOL7 67.5 3
DNAH5 10 2
TSEN2 16.5 1
DLC1 27.5 5
SEH1L 52 2
LONRF1 35 1
ELAC2 24 1
MCM10 77.5 1
SEPHS1 75.5 1
RPL32 44.5 1
ISM1 15.5 1
IQSEC1 16.5 1
BOD1L1 21.5 2
TBC1D7 23 1
PDPN 95.5 1
LRRC38 88.5 1
NUP210 15.5 1
NDUFAF5 44 1
SHISA9 10 1
SGCZ 10 5
BTBD10 21.5 1
WNT7A 17 1
TRIO 18 3
FAR1 10 1
RANBP9 41.5 1
DCAF15 81 1
NANOS3 78 1
