"n_interactions","queryItem"
0,"ATP6V0E2"
0,"C7orf33"
20,"CUL1"
1,"DNAJB6"
54,"EZH2"
0,"KRBA1"
0,"LMBR1"
1,"MNX1"
1,"NOM1"
1,"PDIA4"
0,"RNF32"
0,"TAS2R41"
0,"UBE3C"
0,"ZNF212"
0,"ZNF282"
0,"ZNF398"
0,"ZNF425"
1,"ZNF467"
0,"ZNF746"
0,"ZNF777"
0,"ZNF786"
0,"ATP6V1C1"
0,"AZIN1"
1,"BAALC"
12,"CDH17"
0,"GML"
0,"LRRCC1"
0,"LY6D"
0,"LYNX1"
6,"NDRG1"
1,"OSR2"
0,"RALYL"
0,"ST3GAL1"
0,"TSPYL5"
1,"CSRP3"
0,"DCDC1"
1,"DKK3"
0,"DNAJC24"
2,"E2F8"
3,"ELP4"
3,"GTF2H1"
0,"HPS5"
0,"IMMP1L"
0,"MPPED2"
2,"MRGPRX1"
2,"MRGPRX2"
0,"NAV2"
13,"PAX6"
3,"PTPN5"
0,"RCN1"
0,"SPTY2D1"
0,"TMEM86A"
5,"TSG101"
0,"UEVLD"
0,"ZDHHC13"
0,"ADAM2"
0,"ADCK5"
7,"ADCY8"
23,"AGO2"
24,"ANGPT1"
0,"ANXA13"
3,"ARC"
2,"ATAD2"
0,"ATP6V0D2"
1,"BOP1"
0,"C8orf34"
0,"C8orf76"
1,"CA1"
0,"CA13"
0,"CA2"
0,"CA3"
0,"CALB1"
0,"CCDC166"
8,"CEBPD"
1,"CHRAC1"
0,"CNBD1"
0,"CNGB3"
2,"COL14A1"
0,"COL22A1"
0,"COLEC10"
0,"CPNE3"
0,"CPQ"
0,"CPSF1"
0,"CRISPLD1"
1,"CTHRC1"
1,"CYC1"
3,"CYP11B1"
4,"CYP11B2"
4,"DCAF13"
1,"DCAF4L2"
0,"DECR1"
0,"DENND3"
8,"DEPTOR"
0,"DGAT1"
2,"DSCC1"
8,"E2F5"
1,"EEF1D"
0,"EFCAB1"
0,"EFR3A"
2,"EIF3H"
0,"ENPP2"
0,"EPPK1"
0,"EXOSC4"
0,"EXT1"
0,"FAM110B"
0,"FAM83A"
0,"FAM91A1"
0,"FBXL6"
6,"FBXO32"
2,"FZD6"
0,"GLI4"
0,"GPAA1"
0,"GPIHBP1"
0,"GRINA"
0,"GSDMD"
5,"HEY1"
0,"HNF4G"
5,"HSF1"
23,"IL7"
0,"KCNK9"
0,"KCNQ3"
1,"KHDRBS3"
0,"KLF10"
0,"KLHL38"
0,"LRRC69"
0,"LY6E"
0,"LY6H"
1,"LY6K"
0,"LYPD2"
1,"MAF1"
0,"MAFA"
0,"MAL2"
0,"MAPK15"
5,"MCM4"
2,"MED30"
0,"MMP16"
0,"MROH1"
0,"MROH6"
1,"MRPL13"
0,"MRPS28"
2,"MSC"
2,"MTBP"
2,"NBN"
0,"NECAB1"
0,"NRBP2"
0,"OC90"
0,"ODF1"
