gene PPI_count
A2M 0
AATF 0
ABCA7 0
ABCC9 0
ABCF1 0
ABHD12 0
ABHD16A 0
ABHD4 0
ABHD8 0
ACADVL 0
ACE2 0
ACER2 0
ACO1 0
ACOT13 0
ACP5 0
ACSS1 0
ACTC1 0
ADAM17 1
ADAMTS12 0
ADAP2 0
ADCY2 2
ADCYAP1 1
ADI1 0
ADIPOR2 0
ADPRM 0
ADRA1D 1
ADRB3 1
AEBP2 1
AFG3L2 0
AGER 0
AGPAT1 0
AGPAT5 0
AHCY 0
AICDA 0
AIF1 0
AIFM3 0
AJUBA 0
AKAP10 0
AKAP17A 0
AKAP8 1
AKR1C1 0
AKR1C2 0
AKR1C3 0
ALDH3A1 0
ALG10 0
ALKBH5 0
ALOX12 1
ALOX12B 0
ALOX15B 1
ALPL 0
AMACR 0
AMPD3 0
ANAPC4 0
ANGPT2 1
ANGPT4 0
ANGPTL4 1
ANKH 0
ANKLE1 0
ANKMY2 0
AP1G2 0
AP2A2 0
AP2B1 0
AP4S1 0
AP5S1 0
AP5Z1 0
APC2 0
APMAP 0
APOM 0
APOO 0
APP 0
APTX 0
AQR 0
ARHGAP6 0
ARHGDIB 1
ARHGEF18 0
ARPC4 0
ARPP21 0
ARSD 0
ARSF 0
ARSH 0
ARVCF 0
ASAH1 0
ASCL2 1
ASF1B 0
ASGR1 0
ASGR2 0
ASH2L 0
ASIP 0
ASMT 0
ASMTL 0
ASXL1 1
ASXL3 0
ATF6B 0
ATG4D 0
ATG7 0
ATP10A 0
ATP1B2 0
ATP2B2 1
ATP6V1G2 0
ATXN3L 0
AURKB 1
AVL9 0
BABAM1 0
BAG4 0
BAG6 0
BASP1 0
BAZ1A 0
BBOX1 1
BCAT1 0
BCL2L1 0
BCL2L2 0
BCL2L2-PABPN1 0
BDNF 2
BFSP1 0
BICD1 0
BLCAP 0
BLK 0
BLOC1S5 0
BMI1 1
BMP1 0
BPI 0
BPIFA1 0
BPIFA2 0
BPIFA3 0
BPIFB1 0
BPIFB2 0
BPIFB4 0
BPIFB6 0
BRCA2 0
BRD2 0
BRD4 2
BRD9 0
BRIX1 0
BRK1 0
BRSK2 0
BST2 0
BTG3 0
BTNL2 0
C11orf21 0
C17orf49 0
C18orf21 0
C1QA 0
C1QB 0
C1QC 0
C1QTNF9 0
C1QTNF9B 0
C1R 0
C1RL 0
C1S 0
C2 0
C3 0
C3AR1 0
C4A 1
C4B 0
C5orf49 0
C9orf72 0
CA6 0
CA9 0
CAAP1 0
CACNA1A 0
CACNA1C 0
CACNA2D4 0
CALCA 0
CALCB 0
CALML3 1
CALML5 1
CALML6 1
CALR 0
CAMK1D 0
CAPRIN1 1
CARD11 0
CARM1 1
CAT 0
CBX3 0
CCDC105 0
CCDC151 0
CCKAR 0
CCL1 0
CCL13 0
CCL15 0
CCL16 0
CCL18 0
CCL19 1
CCL2 0
CCL21 1
CCL23 0
CCL27 0
CCL3 1
CCL3L1 0
CCL4 0
CCL4L2 0
CCL5 1
CCL7 0
CCL8 0
CCND2 1
CCNE1 0
CCT5 0
CD163 1
CD209 0
CD22 1
CD27 0
CD274 1
CD44 5
CD59 0
CD68 1
CD69 0
CD72 0
CD81 0
CD9 0
CD93 0
CD99 0
CDC123 0
CDC25B 0
CDC37 1
CDC37L1 0
CDC42 0
CDCA7L 0
CDH10 1
CDH12 0
CDH18 0
CDH2 0
CDH24 0
CDH9 1
CDK12 0
CDK5R1 0
CDK5RAP1 0
CDK8 0
CDKL5 0
CDRT4 0
CDS2 0
CEBPA 0
CEBPE 0
CEBPG 0
CENPB 1
CENPV 0
CEP192 0
CER1 0
CERS4 0
CFB 0
CFL2 1
CHAF1A 0
CHD3 1
CHD4 0
CHD8 1
CHN2 0
CIDEA 1
CIDEC 1
CIITA 0
