"dataset","sample.id.tumor","sample.id.normal","chrom","seg","num.mark","nhet","cnlr.median","mafR","segclust","cnlr.median.clust","mafR.clust","start","end","cf.em","tcn.em","lcn.em","svtype","svlen","copy.number.simple","copy.number.category","length","gene_name","Is.TF.","DBD","Group_kinase","Family_kinase","median.CRISPR","mean.CRISPR","sd.CRISPR","min.CRISPR","Tier.COSMIC","Hallmark.COSMIC","Role.in.Cancer.COSMIC","Mutation.Types.COSMIC","Translocation.Partner.COSMIC","Is.Oncogene.oncoKB","Is.Tumor.Suppressor.Gene.oncoKB","OncoKB.Annotated.oncoKB","pubmed_invasion","pubmed_cancer","pubmed_growth","pubmed_migration","pubmed_prolifiration","PPI_count","GO_terms","expr","Primary_Site","Primary_Subsite","Sample_Id_DNA_T","Primary_Site_and_Subsite","matching_normal_tissue","normal_tissue_mean_expr"
"MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"IQSEC3","No_data","No_data","No_data","No_data",-0.067,-0.068,0.133,-0.653,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,1,0,0,0,0,4,17.54,"Bladder","Bladder, NOS","SRR4306340","Bladder - Bladder, NOS","Bladder",1.301342
"MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"SLC6A12","No_data","No_data","No_data","No_data",-0.031,-0.033,0.122,-0.653,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,2,0,0,0,0,0,3.68,"Bladder","Bladder, NOS","SRR4306340","Bladder - Bladder, NOS","Bladder",0.840896
"MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"SLC6A13","No_data","No_data","No_data","No_data",0.06,0.06,0.115,-0.448,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,1,0,0,0,0,1,4.94,"Bladder","Bladder, NOS","SRR4306340","Bladder - Bladder, NOS","Bladder",0.105843
"MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"KDM5A","No_data","No_data","No_data","No_data",-0.175,-0.178,0.19,-0.878,"1","","oncogene, fusion","T","NUP98","Yes","No","Yes",0,88,6,0,20,10,17,108.93,"Bladder","Bladder, NOS","SRR4306340","Bladder - Bladder, NOS","Bladder",11.313708
"MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"CCDC77","No_data","No_data","No_data","No_data",-0.004,-0.025,0.15,-0.629,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,0,0,0,0,0,0,113.75,"Bladder","Bladder, NOS","SRR4306340","Bladder - Bladder, NOS","Bladder",5.098243
"MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"B4GALNT3","No_data","No_data","No_data","No_data",-0.101,-0.106,0.116,-0.603,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,7,0,1,1,0,0,455.31,"Bladder","Bladder, NOS","SRR4306340","Bladder - Bladder, NOS","Bladder",2.234574
"MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"NINJ2","No_data","No_data","No_data","No_data",-0.055,-0.06,0.142,-0.789,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,4,2,1,1,0,2,0.65,"Bladder","Bladder, NOS","SRR4306340","Bladder - Bladder, NOS","Bladder",3.482202
"MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"WNK1","No_data","No_data","Other","WNK",-0.902,-0.9,0.455,-2.945,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",2,50,5,20,20,0,95,70.24,"Bladder","Bladder, NOS","SRR4306340","Bladder - Bladder, NOS","Bladder",46.850742
"MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"RAD52","No_data","No_data","No_data","No_data",-0.143,-0.141,0.127,-0.685,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,248,20,3,31,6,6,691.23,"Bladder","Bladder, NOS","SRR4306340","Bladder - Bladder, NOS","Bladder",13.454343
"MET500","SRR4306340","SRR4306076","12",56,407,35,2.76247490545087,21.5264246719832,77,2.77010494882727,21.5264246719832,208408,1996345,0.732009454501311,31,0,NA,NA,NA,NA,1787937,"ERC1","No_data","No_data","No_data","No_data",-0.061,-0.066,0.114,-0.851,"No_data","No_data","No_data","No_data","No_data","Yes","No","Yes",4,15,0,5,2,1,13,61.69,"Bladder","Bladder, NOS","SRR4306340","Bladder - Bladder, NOS","Bladder",15.454981
