"gene","GO_terms"
"PLEKHG4B",8
"LRRC14B",0
"CCDC127",0
"SDHA",0
"PDCD6",60
"AHRR",4
"C5orf55",0
"EXOC3",2
"CTD-2228K2.5",0
"SLC9A3",0
"CEP72",0
"TPPP",15
"AC026740.1",0
"ZDHHC11",4
"ZDHHC11B",0
"BRD9",11
"TRIP13",25
"RP11-661C8.3",0
"NKD2",21
"SLC12A7",6
"SLC6A19",5
"SLC6A18",0
"TERT",129
"CLPTM1L",0
"SLC6A3",39
"LPCAT1",11
"MRPL36",0
"NDUFS6",0
"IRX4",3
"OR4F21",0
"RP11-585F1.10",0
"ZNF596",2
"FBXO25",0
"TDRP",0
"ERICH1",0
"FOXD4",1
"CBWD1",0
"C9orf66",0
"DOCK8",44
"KANK1",54
"RP11-683L23.1",0
"USP14",8
"THOC1",52
"COLEC12",15
"CETN1",4
"CLUL1",0
"C18orf56",0
"TYMS",36
"ENOSF1",1
"YES1",71
"ADCYAP1",36
"DEFB125",0
"DEFB126",0
"DEFB127",0
"DEFB128",0
"DEFB129",0
"DEFB132",0
"C20orf96",0
"ZCCHC3",14
"SOX12",28
"NRSN2",0
"TRIB3",61
"RBCK1",20
"TBC1D20",28
"CSNK2A1",34
"TUBB8",12
"ZMYND11",20
"DIP2C",0
"PRR26",0
"DUSP22",74
"IRF4",81
"EXOC2",2
"HUS1B",19
"AL033381.1",0
"FOXQ1",17
"FOXF2",39
"FOXC1",129
"GMDS",1
"IQSEC3",4
"SLC6A12",0
"SLC6A13",1
"KDM5A",17
"CCDC77",0
"B4GALNT3",0
"NINJ2",2
"WNK1",95
"RAD52",6
"ERC1",13
"WNT5B",31
"FBXL14",0
"ADIPOR2",18
"CACNA2D4",3
"LRTM2",12
"DCP1B",4
"CACNA1C",23
"ZNF732",0
"ZNF141",4
"ZNF721",2
"PIGG",0
"PDE6B",10
"ATP5I",0
"MYL5",2
"MFSD7",0
"PCGF3",6
"CPLX1",14
"GAK",6
"TMEM175",1
"DGKQ",59
"SLC26A1",0
"IDUA",2
"FGFRL1",26
"RNF212",5
"SPON2",24
"CTBP1",16
"MAEA",14
"UVSSA",6
"CRIPAK",0
"NKX1-1",0
"FAM53A",5
"SLBP",0
"TMEM129",0
"TACC3",8
"FGFR3",61
"LETM1",4
"WHSC1",0
"NELFA",7
"C4orf48",0
"PLCXD1",0
"GTPBP6",3
"PPP2R3B",0
"SHOX",3
"CRLF2",16
"CSF2RA",12
"IL3RA",5
"SLC25A6",6
"ASMTL",0
"P2RY8",8
"AKAP17A",2
"ASMT",3
"DHRSX",7
"ZBED1",10
"CD99",14
"XG",12
"SLC52A3",3
"FAM110A",0
"ANGPT4",45
"RSPO4",6
"PSMF1",4
"TMEM74B",0
"C20orf202",0
"RAD21L1",3
"SNPH",2
"SDCBP2",2
"AL136531.1",0
"FKBP1A",35
"NSFL1C",7
"SIRPB2",0
"SIRPD",0
"RP4-576H24.4",0
"SIRPB1",18
"SIRPG",18
"",0
"CNTN6",8
"SNTG2",1
"NAT8L",0
"POLN",3
"AP2A2",6
"MUC6",2
"MUC2",8
"MUC5AC",0
"MUC5B",0
"TOLLIP",15
"AC136297.1",0
"BRSK2",40
"MOB2",6
"DUSP8",1
"KRTAP5-1",0
"KRTAP5-2",0
"KRTAP5-3",0
"KRTAP5-4",0
"IRX2",29
"C5orf38",0
"ABCA7",24
"HMHA1",0
"POLR2E",2
"GPX4",2
"SBNO2",22
"STK11",139
"C19orf26",0
"ATP5D",0
"MIDN",27
"CIRBP",7
"C19orf24",0
"MUM1",0
"EFNA2",15
"NDUFS7",0
"GAMT",5
"DAZAP1",4
"RPS15",10
"AC027307.3",0
"APC2",19
"C19orf25",0
"PCSK4",6
"REEP6",3
"ADAMTSL5",0
"PLK5",14
"MEX3D",3
"MBD3",31
"UQCR11",0
"TCF3",31
"ONECUT3",3
"ATP8B3",0
"REXO1",0
"TUSC5",0
"YWHAE",45
"CRK",100
"MYO1C",36
"INPP5K",79
"PITPNA",0
"SLC43A2",0
"SCARF1",18
"RILP",6
"PRPF8",10
"TLCD2",0
"WDR81",9
"SERPINF2",50
"SERPINF1",72
"SMYD4",2
"RPA1",9
"RTN4RL1",16
"DPH1",0
"OVCA2",1
"HIC1",14
"SMG6",16
"SRR",4
"TSR1",5
"SGSM2",2
"DLGAP2",5
"CLN8",16
"SMARCA2",55
"METTL4",7
"NDC80",27
"CDK11A",9
"SLC35E2",0
"NADK",21
"GNB1",31
"CALML6",0
"TMEM52",0
"C1orf222",0
"GABRD",1
"PRKCZ",133
"C1orf86",0
"AL590822.2",0
"AL590822.1",0
"SKI",116
"MORN1",0
"AL589739.1",0
"ARHGEF10",21
"KBTBD11",0
"VLDLR",7
"KCNV2",1
"KIAA0020",0
"ADARB2",0
"FKBP4",31
"ITFG2",24
"NRIP2",1
"AC005841.1",0
"FOXM1",21
"RHNO1",19
"TULP3",36
"TEAD4",15
"TSPAN9",2
"C6orf195",0
"MYLK4",3
"SMCHD1",14
"EMILIN2",34
"LPIN2",9
"MYOM1",17
"MYL12A",11
"MYL12B",1
"TGIF1",4
"DLGAP1",5
