"","dataset","sample.id.tumor","sample.id.normal","chrom","seg","num.mark","nhet","cnlr.median","mafR","segclust","cnlr.median.clust","mafR.clust","start","end","cf.em","tcn.em","lcn.em","svtype","svlen","copy.number.simple","copy.number.category","length","gene_name","Is.TF.","DBD","Group_kinase","Family_kinase","median.CRISPR","mean.CRISPR","sd.CRISPR","min.CRISPR","Tier.COSMIC","Hallmark.COSMIC","Role.in.Cancer.COSMIC","Mutation.Types.COSMIC","Translocation.Partner.COSMIC","Is.Oncogene.oncoKB","Is.Tumor.Suppressor.Gene.oncoKB","OncoKB.Annotated.oncoKB","pubmed_invasion","pubmed_cancer","pubmed_growth","pubmed_migration","pubmed_prolifiration","PPI_count"
"1","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"PLEKHG4B","No_data","No_data","No_data","No_data",0.139,0.133,0.138,-0.688,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,2,0,0,0,0
"2","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"LRRC14B","No_data","No_data","No_data","No_data",0.089,0.086,0.138,-0.572,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,1,0,0,0,0
"3","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"CCDC127","No_data","No_data","No_data","No_data",0.098,0.098,0.104,-0.333,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,1,0,0,0,0
"4","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"SDHA","No_data","No_data","No_data","No_data",-0.159,-0.192,0.315,-1.54,"1","Yes","TSG","Mis, N","","No","Yes","Yes",1,118,10,2,16,3
"5","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"PDCD6","No_data","No_data","No_data","No_data",-0.225,-0.244,0.197,-1.267,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",1,32,5,6,8,0
"6","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"AHRR","Yes","bHLH","No_data","No_data",-0.067,-0.075,0.129,-1.058,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,84,8,1,9,1
"7","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"C5orf55","No_data","No_data","No_data","No_data",NA,NA,NA,NA,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,1,0,0,0,0
"8","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"EXOC3","No_data","No_data","No_data","No_data",-0.629,-0.642,0.187,-1.465,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,2,0,3,1,0
"9","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"CTD-2228K2.5","No_data","No_data","No_data","No_data",NA,NA,NA,NA,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",0,0,0,0,0,0
"10","METAPRISM","MP-0707-D01","MP-0707-D10","5",25,611,69,3.228,9.1,44,3.228,9.1,18463,1394920,0.527,38,1,"DUP",1376458,"Amplification","HL_gain",1376457,"SLC9A3","No_data","No_data","No_data","No_data",-0.066,-0.07,0.138,-0.668,"No_data","No_data","No_data","No_data","No_data","No_data","No_data","No_data",1,12,0,0,3,0
